Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
1522708,RED ROBIN'S BURGER WORKS,RED ROBIN'S BURGER WORKS,2374123,Restaurant,Risk 1 (High),204 N WELLS ST ,CHICAGO,IL,60606,02/06/2015,License,Pass,"45. FOOD HANDLER REQUIREMENTS MET - Comments: MUST PROVIDE ALL EMPLOYEES WITH THEIR ILLINOIS FOOD HANDLER'S CERTIFICATION AT ALL TIMES. MUST PROVIDE ABOVE STATED DOCUMENT. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: MUST PROVIDE THERMOMETERS FOR ALL REFRIGERATION AND COOLERS ON PREMISES AT ALL TIMES. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST DETAIL CLEAN ALL FLOORS TO REMOVE CONSTRUCTION DUST AND DEBRI FROM ENTIRE PREMISES. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST PROVIDE CEILLING TILES AT THE EXIT HALLWAY ABOVE THE COMPUTER STATION AS WELL AS ABOVE THE MOP SINK AREA.",41.88586331626135,-87.63408111682442,"(41.88586331626135, -87.63408111682442)"
1418812,FRESHII,FRESHII,1908795,Restaurant,Risk 1 (High),311 S WACKER DR ,CHICAGO,IL,60606,01/29/2015,Complaint,Pass,"45. FOOD HANDLER REQUIREMENTS MET - Comments: FOUND 2 STAFF MEMBERS ON PREMISES WITHOUT THEIR ILLINOIS FOOD HANDLER'S CERTIFICATE. MUST PROVIDE ALL STAFF MEMBERS WITH THEIR ILLINOIS FOOD HANDLER'S CERTIFICATE AT ALL TIMES. MUST PROVIDE ABOVE STATED DOCUMENT. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST DETAIL CLEAN ALL CORNERS INSIDE THE WALK-IN COOLER FLOOR TO REMOVE DEBRI AND FOOD CRUMBS. MUST ELEVATE ALL BOXES 6 INCHES OFF THE FLOOR IN THE RESTROOM. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST CLEAN FOOD SPLASHES FROM THE CORNER WALL ACROSS FROM THE 2 DR REFRIGERATORS. 
MUST REMOVE EXCESSIVE DUST ACCUMULATION FROM THE CEILING VENTS IN THE CUSTOMER WAITING AREA. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST DECLUTTER AND BETTER ORGANIZE AREA IN FRONT OFF THE REAR EXIT DOOR AND THE RESTROOM AREA. FOUND MANY EMPTY BOXES. MUST REMOVE/DISCARD UNNECESSARY ITEMS.",41.877791648104406,-87.63652434443534,"(41.877791648104406, -87.63652434443534)"
1418800,METROPOLITAN CLUB,METROPOLITAN CLUB,45113,Restaurant,Risk 1 (High),233 S WACKER DR ,CHICAGO,IL,60606,01/23/2015,Canvass Re-Inspection,Pass,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: VIOLATION HAS BEEN CORRECTED. THE HAND WASHING SINK BY THE 3-COMP SINK HAS BEEN REPAIRED AND IT NOW HAS BOTH HOT AND COLD WATER. | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: DURING INSPECTION FOUND STAFF ASSEMBLING THE SNEEZE GUARDS FOR THE BUFFET DISPLAY AREA WHERE THE SALADS DESSERTS ARE PLACED FOR DISPLAY AND HOLDING DURING SERVICE. VIOLTATION CORRECTED AT THIS TIME. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: CORRECTED AT THIS TIME. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REMOVE EXCESSIVE DUST ACCUMULATION AT ALL CEILING VENTS THROUGHOUT THE KITCHEN, RESTAURANT AND PREP AREA | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments:  MUST INCREASE THE HOT AND COLD WATER PRESSURE AT THE FRONT BAR DUMP SINK, REPAIR LEAKS AT ALL 1-COMP AND 2-COMP SINKS AT THE FAUCET BASE HANDLES AND HANDLES. 
 | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST INSTALL A HAND WASHING SINK AT THE BAR LOCATED ON THE 66TH FLOOR. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: MUST PROVIDE ALL STAFF ON PREMISES WITH THEIR ILLINOIS FOOD HANDLER'S CERTIFICATE AT ALL TIMES. MUST PROVIDE ABOVE STATED DOCUMENT FOR ALL STAFF INCLUDING BARTENDERS, WAITSTAFF, AND ALL FOOD PREP STAFF",41.87856015362371,-87.63652387205532,"(41.87856015362371, -87.63652387205532)"
1418801,ARGO TEA CAFE,ARGO TEA CAFE,1985331,Restaurant,Risk 2 (Medium),233 S WACKER DR ,CHICAGO,IL,60606,01/23/2015,Canvass,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST INCREASE THE HOT AND COLD WATER PRESSURE AT THE 3-COMP SINK. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST REMOVE FOOD DEBRI AND CRUMBS FROM UNDER THE 3-COMO SINK AREA AND THE DISH MACHINE. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN AND SANITIZE THE 2-SLIDING COOLER DOOR TRACKS TO REMOVE FOOD DEBRI AND CRUMBS. 
MUST CLEAN AND SANITIZE THE CUP HOLDERS LOCATED UNDER THE TEA DISPENSING AREA.",41.87856015362371,-87.63652387205532,"(41.87856015362371, -87.63652387205532)"
1418790,NESH MEDITERRANEAN GRILL,NESH MEDITERRANEAN GRILL,2158229,Restaurant,Risk 1 (High),205 W MONROE ST ,CHICAGO,IL,60606,01/20/2015,Canvass Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: VIOLATION HAS BEEN ABATED AT THIS TIME. DURING RE-INSPECTION FOUND NO SMALL FLIES ON PREMISES. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: VIOLATION HAS BEEN CORRECTED. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: VIOLATION HAS BEEN CORRECTED. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VIOLATION HAS BEEN CORRECTED.",41.880547897806615,-87.63398066695044,"(41.880547897806615, -87.63398066695044)"
1418789,METROPOLITAN CLUB,METROPOLITAN CLUB,45113,Restaurant,Risk 1 (High),233 S WACKER DR ,CHICAGO,IL,60606,01/20/2015,Canvass,Fail,"45. FOOD HANDLER REQUIREMENTS MET - Comments: MUST PROVIDE ALL STAFF ON PREMISES WITH THEIR ILLINOIS FOOD HANDLER'S CERTIFICATE AT ALL TIMES. MUST PROVIDE ABOVE STATED DOCUMENT FOR ALL STAFF INCLUDING BARTENDERS, WAITSTAFF, AND ALL FOOD PREP STAFF. | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: DURING INSPECTION FOUND THE EXPOSED HAND SINK BY THE 3-COMP SINK WITHOUT COLD WATER AND A BROKE FLOOR PEDAL. ALL HAND SINKS ON PREMISES MUST HAVE HOT AND COLD RUNNING WATER AND BE IN OPERATING CONDITION AT ALL TIMES. PREMISES GIVEN 48 HOURS TO REPAIR ABOVE STATED SINK. THE IS ANOTHER HAND SINK BY THE COOKING LINE WITH BOTH HOT AND COLD RUNNING WATER. CRITICAL CITATION ISSUED. | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: DURING INSPECTION AT THE BUFFET DISPLAY AREA FOUND VARIOUS SALADS AND DESSERTS NOT PROPERLY COVERED DURING DISPLAY. MUST PROVIDE SNEEZE GUARDS AT ABOVE STATED AREAS AT ALL TIMES. SERIOUS CITATION. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST PROVIDE ADEQUATE SNEEZE GUARDS FOR THE HOT FOODS HOLDING AREA AND FRUIT AREA AT THE BUFFET LINE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REMOVE EXCESSIVE DUST ACCUMULATION AT ALL CEILING VENTS THROUGHOUT THE KITCHEN, RESTAURANT AND PREP AREA. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST INCREASE THE HOT AND COLD WATER PRESSURE AT THE FRONT BAR DUMP SINK, REPAIR LEAKS AT ALL 1-COMP AND 2-COMP SINKS AT THE FAUCET BASE HANDLES AND HANDLES.",41.87856015362371,-87.63652387205532,"(41.87856015362371, -87.63652387205532)"
1418788,PANERA BREAD  # 1190,PANERA BREAD,1820895,Restaurant,Risk 1 (High),250 S WACKER DR ,CHICAGO,IL,60606,01/20/2015,Complaint,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: DURING INSPECTION FOUND APPROXIMATELY 20 LIVE SMALL FLIES THROUGHOUT PREMISES ON THE WALLS BY THE FOUNTAIN DRINK STATION, ON WALLS BEHIND THE CASH REGISTER STATIONS AND WALLS AND CEILINGS IN THE BACK AREA AROUND THE MOP SINK AREA. MUST CLEAN AND SANITIZE ABOVE STATED AREAS. RECCOMEND ADDITIONAL PEST CONTROL SERVICE. SERIOUS CITATION ISSUED. | 12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: DURING INSPECTION FOUND AN EMPTY PAPER TOWEL DISPENSER AT THE EXPOSED HAND SINK NEXT TO THE BREAD PROOFER. MANAGER PROVIDED PAPER TOWELS AT ABOVE SAID SINK. CRITICAL CITATION ISSUED. CDI. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: MUST PROPERLY STORE SPOONS, KNIVES AND FORKS WITH THE HANDLE UP AT ALL TIMES AT THE FRONT PREP AREA ON THE LOWER SHELF OF THE COUNTER TOP. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST RPOPERLY CLEAN AND SANITIZE THE RIGHT HAND CORNER OF THE INNER PANEL AT THE ICE MACHINE TO REMOVE SLIGHT BUILD-UP. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST REGROUT FLOOR IN FRONT OF THE 3-COMP SINK TO PREVENT PEST BREEDING.",41.87813818115573,-87.63706499520218,"(41.87813818115573, -87.63706499520218)"
1418784,ARAMARK/1ST & FRESH CATERING,1ST & FRESH CATERING,1888834,Catering,Risk 1 (High),205 W Randolph ST ,CHICAGO,IL,60606,01/14/2015,Canvass,Fail,"45. FOOD HANDLER REQUIREMENTS MET - Comments: MUST PROVIDE ALL STAFF MEMBERS WITH THE ILLINOIS FOOD HANDLER'S CERTIFICATE AT ALL TIMES. MUST PROVIDE PROOF OF ABOVE STATED DOCUMENT FOR ALL STAFF. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: DURING INSPECTION FOUND APPROXIMATELY 20 SMALL FLIES ON PREMISES IN DRY STORAGE AREA, DISH MACHINE AREA ON THE WALLS AND AT THE STORAGE RACK IN FRONT OF THE STAFF RESTROOM. RECOMMEND PEST CONTROL PROVIDE SERVICE PRIOR TO JAN. 21, 2015.   | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN AND SANITIZE FLOORS UNDER THE DISH MACHINE AND THE EXPOSED HAND SINK TO REMOVE FOOD DEBRI AND GRIME. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: MUST PROPERLY DATE AND LABEL ALL FOODS NOT IN ORIGINAL CONTAINERS AT ALL TIMES INSIDE THE WALK-IN COOLER. 
ALSO MUST LABEL LARGE PLASTIC CONTAINERS HOLDING FLOUR AND SUGAR IN THE STORAGE AREA. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST PROVIDE LIGHT SHIELDS AT LIGHT FIXTURES LOCATED ABOVE THE DISH MACHINE AREA AND AT THE HALLWAY BETWEEN THE WALK-IN COOLER AND THE STORAGE RACK. ALSO MUST PROVIDE WORKING BULBS AT THE ABOVE STATED AREAS.",41.88435919296336,-87.6340799011323,"(41.88435919296336, -87.6340799011323)"
1418781,PERRY'S DELI,PERRY'S DELI,2060989,Restaurant,Risk 1 (High),174 N FRANKLIN ST ,CHICAGO,IL,60606,01/13/2015,Canvass,Pass,"45. FOOD HANDLER REQUIREMENTS MET - Comments: MUST PROVIDE PROOF OF THE ILLINOIS FOOD HANDLER'S CERTIFICATE FOR FOOD STAFF MEMBERS ON PREMISES AT ALL TIMES. MUST PROVIDE PROOF OF DOCUMENT AS STATED ABOVE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST DETAIL CLEAN AND SANITIZE WALLS NEXT TO AND AROUND THE FRONT EXPOSED HAND SINK, THE REAR WALLS UNDER THE EXHAUST HOOD AND THE WALLS BEHIND THE OVEN TO REMOVE EXCESSIVE FOOD SPLASHES AND GRIME 
MUST REPAIR 2 HOLES AT THE WALL ABOVE THE COVING NEXT TO THE DOOR LEADING TO THE KITCHEN PREP AREA. ALSO THE DAMAGED WALL ABOVE THE MOP SINK AREA AND THE WALL BETWEEN THE FRONT AND THE REAR PREP AREA SO AS TO BE SMOOTH AND EASILY CLEANABLE. 
MUST REMOVE EXCESSIVE DUST BUILD-UP AT ALL CEILING VENT COVERS ON PREMISES. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST PROVIDED 3 SINK STOPPERS FOR THE 3-COMP SINK AT ALL TIMES. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN AND SANITIZE THE INTERIOR 2DR REFRIGERATOR TO REMOVE FOOD DEBRI, AND THE SHELVING RACKS AT SAME. 
MUST REPAINT EXTERIOR LID AND WALLS OF THE RUSTY GREASE TRAP BOX UNDER THE 3-COMP SINK. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST DETAIL CLEAN AND SANITIZE FLOOR UNDER THE 3-COMP SINK TO REMOVE GRIME BUILD-UP. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: MUST PROPERLY DATE AND LABEL ALL PREPARED FOODS AT ALL COLD HODLING UNITS AND REFRIGEATORS ON PREMISES.",41.88520685263138,-87.63554494448164,"(41.88520685263138, -87.63554494448164)"
1418783,STOCKS & BLONDES BAR & GRILLE,STOCKS & BLONDES BAR & GRILLE,1547706,Restaurant,Risk 1 (High),40 N WELLS ST ,CHICAGO,IL,60606,01/13/2015,Canvass,Pass,"45. FOOD HANDLER REQUIREMENTS MET - Comments: MUST PROVIDE ALL FOOD AND OTHER STAFF WITH THE ILLINOIS FOOD HANDLER'S CERTIFICATION. ALL STAFF EXCEPT FOR ONE COULD NOT PROVIDE PROOF OF CERTIFICATION. MUST PROVIDE ABOVE STATED DOCUMENT FOR ALL STAFF ON PREMISES DURING A ROUTINE INSPECTION AT ALL TIMES. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST FINISH REPAIRING ALL WALLS IN THE MEN'S RESTROOM SO AS TO BE SMOOTH AND EASILY CLEANABLE AND SEAL ALL OPENINGS. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST DETAIL CLEAN AND SANITIZE INTERIOR PANEL OF THE ICE MACHINE SO AS TO REMOVE SLIGHT BUILD-UP. 
ALSO MUST CLEAN AND SANITIZE INTERIOR SIDES OF THE EXHAUST HOOD CANOPY TO REMOVE GREASE AND GRIME BUILD-UP. 
MUST REMOVE EXCESSIVE ICE/FROST BUILD-UP AT THE ICE BOX FREEZER LOCATED IN THE BASEMENT. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE EXCESSIVE CONSTRUCTION MATERIAL OFF PREMISES LOCATED IN THE BASEMENT IN FRONT OF THE WALK-IN COOLER ON THE LEFT HAND SIDE TO PREVENT PEST BREEDING.",41.882940596901925,-87.63400628630511,"(41.882940596901925, -87.63400628630511)"
