1,"平成22年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"","","","","","","第3-1表　年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人) － 全国※，都道府県※ ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"","","","","","","Table 3-1. Population (Total and Japanese Population), by Age (Single Years) and Sex, Percentage by age, Average Age and Median Age - Japan* and Prefectures* ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,"","","","","","","※大項目","01（koku2A.0000  総数（国籍） 1)）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,"","","","","","","","02（koku2A.0001  日本人）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,"","","","","","","1) 日本人・外国人の別「不詳」を含む。","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,"","","","","","","2) 不詳を除いて算出。","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,"","","","","","","nenKAX.0000","nenKAX.0001","nenKAX.0002","nenKAX.0003","nenKAX.0004","nenKAX.0005","nenKAX.0006","nenKAX.0007","nenKAX.0008","nenKAX.0009","nenKAX.0010","nenKAX.0011","nenKAX.0012","nenKAX.0013","nenKAX.0014","nenKAX.0015","nenKAX.0016","nenKAX.0017","nenKAX.0018","nenKAX.0019","nenKAX.0020","nenKAX.0021","nenKAX.0022","nenKAX.0023","nenKAX.0024","nenKAX.0025","nenKAX.0026","nenKAX.0027","nenKAX.0028","nenKAX.0029","nenKAX.0030","nenKAX.0031","nenKAX.0032","nenKAX.0033","nenKAX.0034","nenKAX.0035","nenKAX.0036","nenKAX.0037","nenKAX.0038","nenKAX.0039","nenKAX.0040","nenKAX.0041","nenKAX.0042","nenKAX.0043","nenKAX.0044","nenKAX.0045","nenKAX.0046","nenKAX.0047","nenKAX.0048","nenKAX.0049","nenKAX.0050","nenKAX.0051","nenKAX.0052","nenKAX.0053","nenKAX.0054","nenKAX.0055","nenKAX.0056","nenKAX.0057","nenKAX.0058","nenKAX.0059","nenKAX.0060","nenKAX.0061","nenKAX.0062","nenKAX.0063","nenKAX.0064","nenKAX.0065","nenKAX.0066","nenKAX.0067","nenKAX.0068","nenKAX.0069","nenKAX.0070","nenKAX.0071","nenKAX.0072","nenKAX.0073","nenKAX.0074","nenKAX.0075","nenKAX.0076","nenKAX.0077","nenKAX.0078","nenKAX.0079","nenKAX.0080","nenKAX.0081","nenKAX.0082","nenKAX.0083","nenKAX.0084","nenKAX.0085","nenKAX.0086","nenKAX.0087","nenKAX.0088","nenKAX.0089","nenKAX.0090","nenKAX.0091","nenKAX.0092","nenKAX.0093","nenKAX.0094","nenKAX.0095","nenKAX.0096","nenKAX.0097","nenKAX.0098","nenKAX.0099","nenKAX.0100","nenKAX.0101","nenKAX.0102","nenKAX.0103","nenKAX.0104","nenKAX.0105","nenKAX.0106","nenKAX.0107","nenKAX.0108","nenKAX.0109","nenKAX.0110","nenKAX.0111","nenKAX.0112","nenHN.0001","nenHN.0002","nen5A.0001","nen5A.0002","nen5A.0003","nen5A.0004","nen5A.0005","nen5A.0006","nen5A.0007","nen5A.0008","nen5A.0009","nen5A.0010","nen5A.0011","nen5A.0012","nen5A.0013","nen5A.0014","nen5A.0015","nen5A.0016","nen5A.0017","nen5A.0018","nen5A.0019","nen5A.0020","nen5A.0021","nen5A.0022","nen5A.0023","nen5A.0024","nen5A.0025","nen5A.0026","nen5A.0027","nen5A.0028","nen5A.0029","nen5A.0030","nen5A.0031","nen5A.0032","nen5A.0033","nen5A.0034","nen5A.0035"
10,"","","","","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","4","1","1","1","2","3","4"
11,"※大項目","地域コード","地域識別コード","","","","総数（年齢）","0歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10歳","11歳","12歳","13歳","14歳","15歳","16歳","17歳","18歳","19歳","20歳","21歳","22歳","23歳","24歳","25歳","26歳","27歳","28歳","29歳","30歳","31歳","32歳","33歳","34歳","35歳","36歳","37歳","38歳","39歳","40歳","41歳","42歳","43歳","44歳","45歳","46歳","47歳","48歳","49歳","50歳","51歳","52歳","53歳","54歳","55歳","56歳","57歳","58歳","59歳","60歳","61歳","62歳","63歳","64歳","65歳","66歳","67歳","68歳","69歳","70歳","71歳","72歳","73歳","74歳","75歳","76歳","77歳","78歳","79歳","80歳","81歳","82歳","83歳","84歳","85歳","86歳","87歳","88歳","89歳","90歳","91歳","92歳","93歳","94歳","95歳","96歳","97歳","98歳","99歳","100歳","101歳","102歳","103歳","104歳","105歳","106歳","107歳","108歳","109歳","110歳以上","不詳","平均年齢","年齢中位数","（再掲）0～4歳","（再掲）5～9歳","（再掲）10～14歳","（再掲）15～19歳","（再掲）20～24歳","（再掲）25～29歳","（再掲）30～34歳","（再掲）35～39歳","（再掲）40～44歳","（再掲）45～49歳","（再掲）50～54歳","（再掲）55～59歳","（再掲）60～64歳","（再掲）65～69歳","（再掲）70～74歳","（再掲）75～79歳","（再掲）80～84歳","（再掲）85～89歳","（再掲）90～94歳","（再掲）95～99歳","（再掲）100～104歳","（再掲）105～109歳","（再掲）110歳以上","（再掲）15歳未満","（再掲）15～64歳","（再掲）65歳以上","（再掲）75歳以上","（再掲）85歳以上","（再掲）100歳以上","（年令別割合（％））15歳未満 2)","（年令別割合（％））15～64歳 2)","（年令別割合（％））65歳以上 2)","（年令別割合（％））75歳以上 2)","（年令別割合（％））85歳以上 2)","（年令別割合（％））100歳以上 2)"
